Term ID	Class	Description	Status
010-1203	010	Bite trays [dental]	A
010-1202	010	Elastic stockings for surgical use	A
010-1201	010	Mounts for X-ray negatives for medical purposes	A
010-1200	010	Heart rate monitors for sports activities	A
010-1199	010	Respiratory monitors for sports activities	A
010-1198	010	Occlusive suits for medical purposes	A
010-1197	010	Aerosol masks for medical use	A
010-1196	010	Structural fitted parts for baby bottles in the nature of {specify nature or purpose of the parts, e.g., a piston used to help dispense contents upon suction}	A
010-1195	010	Foam rollers for use in physical therapy	A
010-1194	010	Patient medical monitors for monitoring {specify physical condition being monitored, e.g., blood pressure, heart rate, lung function, etc.}	A
010-1193	010	Non-pneumatic, anti-shock wraps and garments for obstetric patients	A
010-1192	010	Dynamometers for diagnostic muscle strength testing	A
010-1191	010	Cell culture apparatus for medical use, namely, {specify items, e.g., cell culture chambers, etc.}	A
010-1190	010	Filters for medical purposes, namely, {specify purpose, e.g., blood filters, filters for anesthesia, etc.}	A
010-1189	010	Humidifiers for medical use	A
010-1188	010	Baby bottle holders in the nature of {specify, e.g. flexible braces, fabric slings, etc.} worn by the person holding the baby	A
010-1187	010	Meters for medical use, namely, for {specify purpose, e.g., positive airway pressure therapy, measuring pulse and heart rate, etc.}	A
010-1186	010	Orthopedic surgical aspirator for use in diagnosis	A
010-1185	010	Orthopedic device for injecting drugs into joint spaces	A
010-1184	010	Gloves for medical purposes, namely, {indicate nature of the gloves, e.g., tight gloves with weights that provide traction to the muscles of the hand and fingers to relieve hand and wrist pain, etc.}	X
010-1183	010	Illustration boards displaying words, phrases, and pictures for use by patients to communicate with health care providers about their physical condition when unable to do so verbally	A
010-1182	010	Medical apparatus for diagnosing or treating respiratory conditions, namely, {indicate specific equipment, e.g., respiratory aspirators, etc.}	A
010-1180	010	Electrocardiographs for veterinary purposes	A
010-1179	010	Radiological apparatus for diagnostic and medical purposes, namely, a helium-3 polarizer used for magnetic resonance imaging (MRI) of the lungs	A
010-1177	010	Dishes adapted for feeding babies and children	A
010-1176	010	Medical instruments for recording heart activity	A
010-1175	010	Electrocardiographic (ECG) recorders and electrocardiographic (ECG) digital plasters sold as a unit	A
010-1174	010	Medical apparatus for monitoring vital signs of patients	A
010-1173	010	Phlebectomy hooks	A
010-1172	010	X-ray apparatus for dental imaging	A
010-1171	010	Surgical knives, namely, bistouries	A
010-1170	010	Gloves that block UV rays for skin health purposes	X
010-1169	010	Medical table sheets for examining tables and operating tables	A
005-1870	005	Eyepatches for medical use	M
010-6	010	Dental impression trays	A
010-599	010	Medical products, namely, biofeedback sensors	A
010-598	010	Lactation massage bars	A
010-597	010	Medical devices for amputees, namely, {indicate specific devices}	A
010-596	010	Medical instruments for use in performing biopsies	A
010-594	010	Percutaneous vein harvesting instrument used to harvest the saphenous vein from the leg for use in coronary bypass surgery	A
010-593	010	Cryosurgical apparatus for use in performing ablative surgery	A
010-592	010	Kits used for selection of sperm, in the field of reproductive medicine, consisting primarily of specially coated petri dishes	X
010-591	010	Cryosurgical probes	A
010-590	010	Inflatable life-sized dolls used in sexual activity	A
010-589	010	Lasers for the cosmetic treatment of the face and skin	A
010-588	010	Injection instruments with needles	A
010-587	010	Supports for general medical use	A
010-586	010	Veterinary protective boots for horses after a surgical procedure	A
010-585	010	Apparatus for vibrational therapy, namely, tuning forks	A
010-584	010	Digital sensor used for taking digital dental radiographs	A
010-581	010	Spirometer mouth pieces and tubing	A
010-580	010	Needle-based and needle-free injection systems	A
010-579	010	EKG machines	A
010-578	010	Therapeutic eye hydration goggles for the treatment of dry eyes	A
010-577	010	Sensory light therapy unit	A
010-576	010	Intra-oral dental light system	A
010-575	010	Electric massage appliances, namely, electric vibrating massager	A
010-574	010	Dental apparatus, namely, intra-oral light systems	A
010-573	010	Medical equipment for pediatric patients, namely, multiple position safety seat	A
010-572	010	Massagers in the nature of electromechanical massage mechanism for chairs	A
020-1618	020	Massage tables	M
010-569	010	Veterinary imaging products, namely, digital video camera connected to a tapered probe useful in viewing ear canals or other cavities of animals for diagnosis and treatment	X
010-568	010	Cards printed with lines of varying widths used for testing and analyzing vision	A
010-567	010	Plastic material for producing, relining and repair of dental prostheses	A
010-566	010	Medical instrument for cardiovascular diagnostics	A
010-564	010	Medical device and surgical instrument for use in diagnosis and surgery of the gastro-intestinal tract	A
010-563	010	Surgical and medical apparatus and instruments for use in general surgery	A
010-562	010	Drainage appliances for surgical procedures	A
010-561	010	Mouth exerciser for use in exercising and strengthening mouth and facial muscles for medical and beauty benefits	A
010-560	010	Medical x-ray film	A
010-559	010	Ceramic alloy used in dental crowns	A
010-557	010	Medical bags adapted for and sold with medical, surgical and veterinary instruments	A
010-556	010	Medical apparatus, namely, electric vaporizer that emits menthol for treatment of upper respiratory conditions	A
010-555	010	Prosthetic and filling materials, namely, artificial materials for use in the replacement of bones	A
010-600	010	Medical products, namely, therapeutic mattress support	A
010-686	010	Light-based medical devices, namely, a light emitting diode (LED) device for increasing the human body's own production of collagen	A
010-685	010	Medical endotracheal tube with securing device	A
010-684	010	Medical intubation equipment	A
010-683	010	Force and motion testing apparatus for physical training	A
010-682	010	Force and motion testing apparatus for physical rehabilitation	A
010-681	010	Electromedical rehabilitative and pain management products for clinical and home use, namely, electrical nerve and muscle stimulators, ultrasonic stimulators, magnet therapy stimulators and laser therapy stimulators	A
010-679	010	Containers especially made for medical waste	A
010-675	010	Medical ultrasound apparatus	A
010-67	010	Gum massaging instruments	A
010-669	010	Gynecological medical instruments for examining women's reproductive organs	A
010-667	010	Posture correction device, namely, an adjustable harness to correct one's posture for medical purposes	A
010-665	010	Cervical collars	A
010-663	010	Mouth guards for medical purposes	A
010-662	010	Incontinence bed pads	A
010-661	010	Hospital gurneys	A
010-66	010	Gloves for medical use	A
010-659	010	Medical stents	A
010-658	010	Artificial eyes	A
010-657	010	Breast pumps	A
010-656	010	Baby bottles	A
010-655	010	Intraocular lenses	A
010-654	010	Incontinence sheets	A
010-653	010	Hearing aids	A
010-652	010	Nipples for baby bottles	A
010-651	010	Surgical clips	A
010-650	010	Stent delivery systems	A
010-649	010	Orthopedic cast cooling system comprised of a membrane wrapped around the cast, a vacuum pump and hoses to facilitate air flow to facilitate healing and comfort	A
010-377	010	Apparatus for washing out body cavities	A
010-376	010	Apparatus for taking blood samples	A
010-375	010	Apparatus for taking blood	A
010-374	010	Apparatus for physical training for medical use	A
010-373	010	Rollators	A
010-372	010	Synthetic filler and extender material to serve as replacement for bone	A
010-371	010	Containers and trays specially designed for transporting and holding radiopharmaceuticals	A
010-369	010	Human face protectors, namely, transparent face shields for use in the medical and dental fields	A
010-367	010	Medical and surgical apparatus and instruments, namely, orthopedic fixation device used in orthopedic transplant and/or implant surgery	A
010-366	010	Electrical weight loss body belt	A
010-365	010	Elizabethan collars for dogs [medical protective device]	A
010-364	010	Eye protectors for post-surgery eye protection	A
010-363	010	Medical device, namely, a device for measuring arterial blood flow in the eye	A
010-361	010	Wireless transmitters and receivers for use with hearing aids	A
010-360	010	Dental instruments, namely, disposable prophy angles	A
010-359	010	Blood glucose meter	A
010-358	010	Nuclear medicine diagnostic imaging apparatus	A
010-355	010	Dental dams	A
010-351	010	Surgical instruments for use in {indicate type of surgery or purpose}	A
010-346	010	Constriction rings for use in maintaining penile rigidity in men with erectile dysfunction	A
010-340	010	Supports for {indicate specific parts of the body} for medical use	A
010-34	010	Blood drawing apparatus	A
010-339	010	CPR (cardiopulmonary resuscitation) masks	A
010-337	010	Heart pacemakers	A
010-333	010	Bone implants composed of artificial materials	A
010-332	010	Condoms	A
010-331	010	Artificial limbs	A
010-330	010	Incubators for babies	A
010-329	010	Electrocardiographs	A
010-327	010	Defibrillators	A
010-326	010	Non-medicated compresses	A
010-324	010	Sutures	A
010-32	010	Birthing chairs	A
010-319	010	Electromagnetic drug delivery apparatus for medical use	A
010-318	010	Electromagnetic medical diagnostic imaging apparatus	A
010-317	010	Medical gowns	A
010-316	010	Magnets for medical purposes	A
010-315	010	Heart monitors to be worn during exercise	A
010-314	010	Patient examination gowns	A
010-313	010	Plastic bags for transmitting medical specimens	A
010-312	010	Suction cups for medical purposes	A
010-311	010	Ultraviolet lamps for medical purposes	A
010-310	010	Teething rings incorporating baby rattles	A
010-31	010	Belts for attaching medical monitors to patients	A
010-1253	010	Blood containers for medical purposes [sold empty]	A
010-1252	010	Blood storage bags for medical purposes [sold empty]	A
010-1251	010	Blood tubing sets for medical purposes [sold empty]	A
010-1250	010	Cosmetic apparatus using ultrasound for performing aesthetic skin treatment procedures	A
010-1249	010	Electronic medical appliances for wound healing	A
010-1247	010	Massage apparatus for massaging {indicate, e.g., necks and backs, feet, etc.}	A
010-1243	010	Non-medicated adhesive paper for removing ticks	M
010-1242	010	Self-adhesive identification markers that are attached to the skin for use with radiographic procedures	M
010-1241	010	Sound processors adapted for use with prosthetic hearing devices	M
010-1240	010	Medical apparatus for measuring skin hydration	A
010-124	010	Splints [orthopedic or surgical]	A
010-1239	010	Intravenous bags sold empty for intravenous therapy	A
010-1238	010	Microneedle dermal roller	A
010-1237	010	Artificial biomaterials for augmentation of bone and tissue for medical purposes	A
010-1236	010	Synthetic media for use in the augmentation of bone and tissue for medical purposes	A
010-1235	010	Microscopes for surgical operations	M
010-796	010	Medical gloves	A
010-795	010	Medical apparatus for intravenous administration of fluids, namely, fluid warmers	A
010-794	010	Sex dolls	A
010-793	010	Baby bottle that plays sounds using wireless technology	A
010-790	010	Walkers to aid in mobility	A
010-789	010	Medical device, namely, breast localization wire and parts and fittings therefor	A
010-788	010	Orthopedic walkers	A
010-786	010	Draw-sheets for sick beds	A
010-785	010	Electrodes for medical use	A
010-784	010	Cardiac pacemakers	A
010-783	010	Biodegradable film used as a protective germ shield barrier in the bedding, furniture and health care fields created from renewable bio-polymer resources	A
010-782	010	Biodegradable cornstarch-based film for use as a germ shield in the bedding, furniture and health care fields	A
010-780	010	X-ray tubes for medical purposes	A
010-78	010	Crutches and tips therefor	A
010-779	010	Ear picks	A
010-778	010	Intra-ocular lenses	A
010-777	010	Gloves for medical purposes	A
010-776	010	Lasers for medical purposes	A
010-775	010	Massage apparatus	A
010-774	010	Massage apparatus and instruments	A
010-773	010	Mirrors for dentists	A
010-772	010	Needles for medical purposes	A
010-771	010	Ortheses and artificial limbs	A
010-770	010	Orthopaedic soles	A
010-769	010	Physical exercise apparatus, for medical purposes	A
010-767	010	Supportive bandages	A
010-766	010	Support bandages	A
010-764	010	Suture needles	A
010-763	010	Suture materials	A
010-762	010	Scissors for surgery	A
010-761	010	Radiotherapy apparatus	A
010-760	010	Probes for medical purposes	A
010-76	010	Corsets for therapeutic use	A
010-759	010	Surgical devices and apparatus, namely, a breast localization wire and parts and fittings therefor	A
010-758	010	Light emitting diode (LED) devices for energy-efficient replacement of standard tungsten-filament lighting incorporated into hand-held medical instruments	A
010-757	010	Medical apparatus, namely, therapeutic devices for delivering specifically engineered pressure and gas mixtures for medical benefit	A
010-756	010	Containers for solutions used for the treatment of renal insufficiency, namely, bags, pouches, cartridges, rigid and semi-rigid containers for concentrates and solutions in solid or liquid form for medical use	A
010-755	010	Diagnostic apparatus for the detection of periodontal disease	A
010-754	010	Bags for the collection and disposal of emesis waste	A
010-753	010	Medical image processors	A
010-752	010	Nuclear spin tomographs for medical purposes	A
010-751	010	Dental fixtures, namely, prefabricated parts for crowns, bridges and pontics	A
010-749	010	Bags specially adapted for holding crutches	A
010-900	010	Medical apparatus and instruments, namely, a handheld ultrasound unit for cardiac diagnosis, screening and cardiovascular patient follow-up	A
010-747	010	Protective gloves for medical use	A
010-745	010	Magnifying glasses, for medical examination purposes, that fit on the user's face in the manner of eyeglasses	A
010-744	010	Medical apparatus, namely, an ear wash device in the nature of a container to be filled with appropriate fluid by the user for flushing ear wax from the ear	A
010-743	010	Surgical instruments and apparatus	A
010-742	010	Loupes for medical purposes, namely, magnifying glasses that fit on the user's face in the manner of eyeglasses	A
010-741	010	Medical apparatus, namely, blood pump system for use in artificial liver support	A
010-740	010	Magnifying glasses, for medical purposes, that fit on the user's face in the manner of eyeglasses	A
010-739	010	Bags for medical waste	A
010-738	010	Dental products, namely, plastic material for fabricating complete and partial denture liners/relines, and for fabricating gaskets for over dentures	A
010-737	010	Medical instruments, namely, biosensors for detecting infectious diseases	A
010-736	010	Endodontic container for holding dental drill, dental burrs and dental files	A
010-735	010	Patient medical monitors, namely, monitors for surgical stimulation, analgesia and hypnotic related responses	A
010-734	010	Medical apparatus, namely, implantable ports	A
010-730	010	Medical introducers	A
010-729	010	Medical needles and introducers	A
010-728	010	Medical implants of artificial material in particular for anchoring joint capsule components and ligament tendon structures	A
010-726	010	Portable medical devices used for breathing exercises, namely, portable devices used for endogenous breathing exercises and for respiratory muscle training	A
010-725	010	Carrying case specifically adapted for carrying diabetic supplies, namely, blood glucose meter, testing strips and also including insulin and other related apparatus	A
010-724	010	Medical apparatus, namely, an injectable oxygen delivery system comprising an oxygen device which produces nanobubbles and nanobatteries to prevent or treat eye disease	A
010-723	010	Pediatric breathing masks for medical purposes	A
010-722	010	Insulin injectors sold empty	A
010-721	010	Medical apparatus, namely, infusion and injection devices for administering drugs	A
010-719	010	Synthetic plastic medicated protective boots for equine hoofs	A
010-718	010	Luminescent labels for medical applications for use during procedures or in medical environments that are dark or have lower light levels	A
010-717	010	Medical dose meter that measures the total radiation dose received by a patient during a diagnostic procedure	A
010-715	010	Medical instrument organizer specially fitted with pockets adapted for holding medical instruments	A
010-714	010	Endodontic apparatus	A
010-712	010	Health monitors comprising sensor that monitor the health of the elderly or disabled in their own homes	M
010-711	010	Sensory testing instruments, namely, aesthesiometers	A
010-710	010	Vibrating massage mitts for pets	A
010-709	010	Goods of metal for medical use, namely, screws, plates, pins and pivots	A
010-708	010	Electrochemical sensors for determination of analyte concentrations in fluids for medical purposes	A
010-707	010	Bone repair compound for use in orthopedic surgery	A
010-706	010	Medical apparatus, namely, timing devices for uterine contractions	A
010-705	010	Alarms and sensors to be worn on a person while exercising for the purpose of monitoring heart rate	A
010-853	010	Crystals used for therapeutic balance and wellness	A
010-438	010	High frequency electromagnetic therapy apparatus	A
010-437	010	Heartbeat measuring apparatus	A
010-436	010	Hearing aids for the deaf [acoustic aids]	A
010-434	010	Haemostats	A
010-432	010	Gloves for use in hospitals	A
010-431	010	Centro-medullary nails	A
010-430	010	Castrating apparatus [for veterinary purposes]	A
010-429	010	Cardiac defibrillation electrodes	A
010-428	010	Carbon arc lamp units for therapeutic purposes	A
010-422	010	Cannulae for anaesthetics with receptacles	A
010-421	010	Buccal tubes	A
010-541	010	Vertebral orthopedic apparatus	A
010-540	010	Valves for the treatment of hydrocephalus	A
010-538	010	Umbilical belts	A
010-537	010	Splints [for medical purposes]	A
010-536	010	Speculums	A
010-535	010	Skiascopes	A
010-533	010	Radioisotope therapy apparatus and instruments	A
010-532	010	Pulse measuring devices	A
010-530	010	Prosthetic sockets used to fasten prosthetic limbs to the body	A
010-53	010	Droppers for administering medication, sold empty	A
010-529	010	Prosthetic ligaments	A
010-528	010	Prosthetic instruments for dental purposes	A
010-527	010	Ultraviolet radiator units for therapeutic purposes	A
010-525	010	Tonometers	A
010-524	010	Thoracoscopes	A
010-523	010	Templates for orthopedic purposes	A
010-522	010	Telemetry devices for medical applications	A
010-520	010	Orthopedic apparatus for talipes	A
010-52	010	Dropper bottles for administering medication, sold empty	A
010-518	010	Nursing bottles	A
010-517	010	Surgical amputaters	A
010-516	010	Supporters for medical purposes	A
010-513	010	Stretchers [for patient transport]	A
010-512	010	Stretchers	A
010-510	010	Stents	A
010-51	010	Catgut for surgical use	A
010-509	010	Static electric therapy apparatus	A
010-508	010	Medical instruments for percutaneous tracheostomy	A
010-507	010	Medical instruments for interstitial thermotherapy of biological tissue	A
010-506	010	Medical instruments for cutting tissue	A
010-502	010	Medical cutting devices	A
010-500	010	Post-operative pressure garments	A
010-5	010	Dental handpieces	A
010-499	010	Polymerisation apparatus for dental purposes	A
010-498	010	Platinum cauteries [for surgical use]	A
010-497	010	Pessaries	A
010-496	010	Periosteal elevators	A
010-188	010	X-ray diagnostic apparatus	A
010-187	010	Orthopedic supports	A
010-186	010	Orthotics for {specify area of body, e.g., foot, hand}	A
010-180	010	Heating pads for medical purposes [chemically or electrically-activated]	M
010-178	010	Electric blankets for medical purposes	M
010-177	010	Orthopedic support bandages	A
010-173	010	Orthopedic braces	A
010-171	010	X-ray apparatus for medical use	A
010-170	010	Whirlpools for use in hospitals or for therapeutic use	A
010-17	010	Arch supports for boots or shoes	A
010-164	010	Urethral probe syringes	A
010-161	010	Thermo-electric compresses	A
010-160	010	Therapeutic saunas	A
010-156	010	Surgical staplers	A
010-154	010	Surgical skin staplers	A
010-151	010	Surgical scissors	A
010-147	010	Surgical instruments, namely, {specify items, e.g., scalpels, blades, staplers}	A
010-1462	010	Medical apparatus and instruments for use in {specify nature of medical procedures, e.g., endovascular, cardiovascular, endoscopy, etc.} procedures	A
010-1461	010	Medical apparel in the nature of {indicate specific item, e.g., tops, bottoms, body suits for babies, etc.} for use in medical examination and treatment	A
010-1460	010	Electrical stimulation apparatus for {specify part of body, e.g., nerves, muscles, skin, etc.} for {specify purpose, e.g., physical therapy, rehabilitative and pain management, etc.} purposes	A
010-146	010	Surgical gowns	A
010-145	010	Surgical gloves	A
010-14	010	Anesthetic masks	A
010-1375	010	High intensity focused ultrasound (HIFU) apparatus for surgical use	A
010-189	010	Medical bags designed to hold {indicate specific medical instruments}	A
010-1119	010	Medical implants, namely, a polymer gel that is injected into the vas deferens tube for contraceptive purposes	A
010-1118	010	Blood collection kit comprised of blood collection bag, holder for medical sample tubes and vials, and medical sample tubes and vials	A
010-1117	010	Dental instruments, namely, hemostats that clamp blood vessels to diminish or halt blood flow	A
010-1116	010	Veterinary protective boots for animals after a veterinary procedure	A
010-1115	010	Hair prostheses	A
010-1114	010	Medical device for treating lymphedema	A
010-1113	010	Medical devices, namely, drinking cups for use by patients with swallowing disorders	A
010-1112	010	Infant sleep positioner cushions for medical or therapeutic purposes, namely, for {specify purpose, e.g., preventing rebreathing, reducing the risk of SIDS, correcting flat head syndrome, etc.}	A
010-111	010	Patient examination tables	A
010-1109	010	Massage chairs with built-in massage apparatus	A
010-1108	010	Implantable scaffolds comprising artificial materials for maintaining tissue contour	A
010-1107	010	Medical trays for {indicate medical purpose, e.g., surgical instruments, etc.}	A
010-1105	010	Bottle holders for holding babies' bottles, namely, holders for holding babies' bottles during feeding in the nature of flexible braces for wearing around the neck of the person holding a feeding baby	A
010-1104	010	Bottle holders for holding babies' bottles, namely, holders for holding babies' bottles in the nature of rigid braces for clamping to babies' seats during feeding	A
010-1103	010	Breathalyzers	D
010-1102	010	Catheter for veterinary purposes	A
010-1101	010	Medical instruments, namely, orthopedic apparatus and instruments	A
010-1099	010	Fitted plastic extruded coverings for braces for protecting the inside of the lips from painful ulcers	A
010-1098	010	Cytometers for medical diagnostic use	A
010-1097	010	Medical device for accessing subcutaneous structures of the human body for the purpose of administering medical treatment	A
010-1096	010	External defibrillators	A
010-1095	010	Electrodes for external defibrillators	A
010-250	010	Catheters	M
010-25	010	Baby bottle nipples	A
010-249	010	Exercise machines for therapeutic purposes	A
010-248	010	Surgical implants	D
010-247	010	Surgical implants comprising artificial material	A
010-246	010	Silicone gel sheeting for the treatment of scars	A
010-245	010	Dental picks	A
010-242	010	Laser pointers for medical use	A
010-239	010	Oxygen masks for medical use	A
010-238	010	Urological imaging systems	A
010-237	010	Operating room apparel	A
010-236	010	Medical treatment apparel	A
010-231	010	Stirrups for use with medical examination tables	A
010-228	010	Dental inlays	A
010-227	010	Dental onlays	A
010-225	010	Wound drainage apparatus	A
010-222	010	Resuscitators	A
010-220	010	Medical stretchers	A
010-218	010	Traction apparatus for medical use	A
010-214	010	Endobrachial tubes	A
010-213	010	Nerve stimulator apparatus	A
010-209	010	Hospital beds for use by burn patients	A
010-208	010	Infusion sets	A
010-207	010	Containers for medical waste	A
010-204	010	Ultrasound diagnostic apparatus	A
010-203	010	Medical tubing for {specify use, e.g., drainage, transfusion, administering drugs}	A
010-2	010	Compression bandages	A
010-199	010	Phototherapeutic apparatus for medical purposes	A
010-198	010	Plaster casts for orthopedic purposes	A
010-192	010	Toilets adapted for medical patients or for use by disabled persons	M
010-190	010	Transfusion sets	A
010-1168	010	Medical devices, namely, pulse oximeters	A
010-1167	010	Surgical smoke evacuation devices for capturing and filtering smoke during electrosurgical procedures	A
010-1163	010	Warming device for stabilizing infant body temperature for medical purposes	A
010-1162	010	Medical operating lamps	A
010-1161	010	Dental operating lamps	A
010-1160	010	Nipple protectors for use in breastfeeding	A
010-116	010	Pulse rate monitors	A
010-1158	010	Surgical operating lamps	A
010-1157	010	Vacuum pumps for medical purposes	A
010-1156	010	Veterinary operating lamps	A
010-1155	010	Immunochemical testing apparatus for medical use	A
010-1150	010	Blood pretreatment apparatus and instruments	A
010-115	010	Prostheses for {specify type, e.g., breast, hand}	A
010-1148	010	Face masks for use by dental care providers	A
010-1147	010	Blood testing apparatus, namely, blood collecting tubes	A
010-1146	010	Blood testing apparatus, namely, blood sampling tubes	A
010-1145	010	Medical and dental apparatus for dimensional measurement, namely, 3D scanner for human body	A
010-1144	010	Heat and moisture exchanger for medical use	A
010-1143	010	Anesthesia masks	A
010-1142	010	Medical devices, namely, minimally invasive neurovascular devices for the treatment of neurological conditions	A
010-1140	010	Medical apparatus, namely, plastic film for use in the application of ice bags	A
010-114	010	Patient treatment tables	A
010-1138	010	Kits for the application of ice bags for medical purposes comprised of plastic ice bags for medical purposes, plastic film, handle for the application of plastic film, plastic bag sealer, plastic bag dispenser	X
010-1136	010	Medical braces, namely, spring-loaded chest to leg brace used to support the body during physical activity	A
010-1135	010	Support belts for use during pregnancy for medical purposes	X
010-1134	010	Bibs for dental use	A
010-1133	010	Clothing extension support devices for use during pregnancy for medical purposes	A
010-1131	010	Spring-loaded chest and leg braces used to support the body during physical rehabilitation activity	A
010-1130	010	Heart rate monitors	A
010-1129	010	Medical diagnostic instruments for the analysis of body fluids	A
010-1128	010	Medical devices for obtaining body fluid samples	A
010-1127	010	Medical scissors	A
010-1126	010	Pill and tablet cutters and crushers	A
010-1125	010	Ultrasonographs	A
010-1124	010	Medical testing devices for measuring hearing loss in patients, namely, audiometers	A
010-1122	010	Dental instruments, namely, crown and bridge removers	A
010-1121	010	Medical apparatus, namely, non- or low-compression devices for holding thermal packs to the breasts	A
010-1120	010	Dental apparatus, namely, apex locator	A
010-112	010	Patient examination and/or treatment tables	A
010-554	010	Prosthetic and filling materials, namely, putty for use in the replacement of bones	A
010-550	010	Surgical retractors	A
010-549	010	Surgical pliers	A
010-548	010	Surgical perforators	A
010-547	010	Surgical knives	A
010-546	010	Surgical forceps	A
010-545	010	Surgical catguts	A
010-544	010	X-ray CT scanners	A
010-543	010	X-ray appliances for dental and medical use	A
012-685	012	All-terrain vehicles	A
012-684	012	Baby strollers	A
012-683	012	Automobile windshield sunshades	A
012-682	012	Automobile sunroofs	A
012-681	012	Automobile bodies	A
012-680	012	Anti-theft alarms for vehicles	A
012-679	012	Valves for vehicle tires	A
012-678	012	Inner tubes for vehicle tires	A
012-677	012	Horns for vehicles	A
012-675	012	Land vehicle parts, namely, drive belts	A
012-674	012	Clutches for land vehicles	A
012-673	012	Car-top luggage carriers	A
012-672	012	Cars	A
012-138	012	Automobile seat cushions	A
012-136	012	Automobile bumpers	A
012-131	012	Ambulances and structural parts therefor	A
012-128	012	Airplanes and structural parts therefor	A
012-126	012	Aero-dynamic fairings for vehicles	A
012-125	012	Directional signals for vehicles	A
012-123	012	Wheel bearing kits for use with land vehicles	A
012-121	012	Wagons	A
012-1200	012	Storage boxes specially adapted for boats	A
012-120	012	Vehicular balloons	A
012-1199	012	Fitted vehicle covers for {specify type of vehicle, e.g., motorcycles, automobiles, motorized golf carts, etc.} for the purpose of {indicate purpose, e.g., protecting against harsh weather, shielding from bird droppings, etc.}	A
012-1198	012	Tablet computer headrest mounts adapted for use in vehicles	A
012-1197	012	Crash carts	A
012-1195	012	Bicycle cue sheet holders	A
012-1194	012	Front derailleurs	A
012-1193	012	Head restraints for vehicles	A
012-1192	012	Inflatable air bags for use in vehicles for the prevention of injury in accidents	A
012-1189	012	Self-driving transport vehicles	A
012-1184	012	Computer laptop mount adapted for use in vehicles	M
012-1183	012	Transport chairs	A
012-1182	012	Ejector seats for aircraft	A
012-1181	012	Funnels for locomotives	A
012-1179	012	Hub cap covers	A
012-1178	012	Hub caps	A
012-1176	012	Wheelchair motors	A
012-1174	012	Drones	A
012-1173	012	Automotive door handle scratch guards	A
012-1172	012	Utility hitch trailers designed for use in {specify particular purpose, e.g., hauling lumber, towing ATVs, transporting harvested fruit}	A
012-1169	012	Aftermarket automobile accessories, namely, luggage bags specially adapted for fitting in the trunk of vehicles	A
012-1168	012	Aftermarket automobile accessories, namely, car interior organizer bags, nets and trays specially adapted for fitting in vehicles	A
012-1166	012	Saddlebags adapted for bicycles	A
012-1165	012	Wheeled carrier carts for {indicate type of sport board, e.g., wind-surfing, paddle, surf, etc.} boards	A
012-1163	012	Safety belts for vehicle seats	A
012-1162	012	Luggage nets for vehicles	A
012-1160	012	Tow bars for trailers	A
012-1158	012	Light aircraft	A
012-1157	012	Jet aircraft	A
012-1156	012	Off-road vehicles	A
011-696	011	Regenerative thermal oxidizer used to destroy airborne volatile organic compounds, airborne toxins, odors and other air pollutants from industrial operations	X
011-695	011	Strainers for plumbing drains	A
011-694	011	Lighting tubes	A
011-693	011	Folding portable ovens	A
011-692	011	Swimming pool drain covers	A
011-691	011	Folding portable charcoal, propane and gas fired barbecues, stoves, and grills	A
011-690	011	Portable refrigerated rooms	A
011-69	011	Flashlights	A
011-689	011	Smoke generating machines for creating special theatrical effects	A
011-687	011	Ozone generators that kill mold and mildew	A
011-686	011	Portable thermoelectric cooling and heating unit for food and beverages	A
011-685	011	Grill accessories, namely, warming trays	A
011-684	011	Fibrous filtering media for general industrial use in the purification of air and industrial fluids	A
011-682	011	Heated merchandise display cases	A
011-681	011	Cook- and hold- ovens	A
011-680	011	Refrigeration equipment, namely, rapid food chilling units	A
011-679	011	Thermoelectric cooler/heater for food and beverages	A
011-678	011	Cabinets used to control temperature and humidity for heating and proofing food goods	A
011-677	011	Combination steamers and ovens	A
011-676	011	Butter warmers	A
011-675	011	Light bulbs	A
011-673	011	Outdoor cookers for curing food	A
011-672	011	Minibars	A
011-670	011	Baby bottle sterilizers	A
011-67	011	Fireplaces	A
011-669	011	Electric Dutch ovens	A
011-667	011	Lights for firearms	A
011-666	011	Pipe freezing unit comprised of cooling aggregate with refrigerant hoses and deep freezer heads	A
011-664	011	Lighted party-themed decorations, electric light decorative strings	A
011-663	011	Portable thermal self-heating pouch for the purpose of heating food	A
011-662	011	Air purification units	A
011-661	011	Regulating accessories for water supply, namely, metered valves	A
011-660	011	Heating inserts for pet beds	A
011-66	011	Fireplace inserts, comprised of andirons, artificial logs and artificial embers powered by {indicate gas or electricity}	A
011-657	011	Electrical heating cables	A
011-656	011	Drain structures for use in spas, steam rooms and baths	A
012-845	012	Structural repair parts for trucks, trailers, and other motor vehicles	A
012-844	012	Vehicle power train mechanism comprised of clutch, transmission, drive shaft, and differential	A
012-344	012	Parts of motorcycles, namely, headlight mounts	A
012-343	012	Parts of motorcycles, namely, shift levers	A
012-342	012	Parts of motorcycles, namely, front dash panels	A
012-341	012	Parts of motorcycles, namely, front spacers	A
012-340	012	Parts of motorcycles, namely, brake rotors	A
012-34	012	Structural parts for vans	A
012-339	012	Parts of motorcycles, namely, brake pedals	A
012-338	012	Parts of motorcycles, namely, brake calipers	A
012-337	012	Parts of motorcycles, namely, handle bar grips	A
012-336	012	Parts of motorcycles, namely, handle bar dampers	A
